


央视频道,#genre#
源1auth
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
口令562E,https://mpimg.cn/view.php/96cc4e0c93acdcbea919bda9d5587fb8.mp4
小草口令https://mpimg.cn/view.php/96cc4e0c93acdcbea919bda9d5587fb8.mp4
CCTV2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV5+,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV6,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV8,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub
CCTV9,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV10,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub
CCTV11,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
CCTV12,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub
CCTV13,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub
CCTV14,http://38.75.136.137:98/gslb/dsdqpub/cctv14hd.m3u8?auth=testpub
CCTV15,http://38.75.136.137:98/gslb/dsdqpub/cctv15hd.m3u8?auth=testpub
CCTV16,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV17,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub
源2江苏电信
CCTV1,http://j1900.silicaite.top:58888/rtp/239.49.8.129:6000
CCTV2,http://j1900.silicaite.top:58888/rtp/239.49.8.50:9802
CCTV3,http://j1900.silicaite.top:58888/rtp/239.49.8.74:8000
CCTV4,http://j1900.silicaite.top:58888/rtp/239.49.8.51:9806
CCTV5+,http://j1900.silicaite.top:58888/rtp/239.49.8.18:9610
CCTV5,http://j1900.silicaite.top:58888/rtp/239.49.8.75:8000
CCTV6,http://j1900.silicaite.top:58888/rtp/239.49.8.76:8000
CCTV7,http://j1900.silicaite.top:58888/rtp/239.49.0.126:8000
CCTV8,http://j1900.silicaite.top:58888/rtp/239.49.8.77:8000
CCTV9,http://j1900.silicaite.top:58888/rtp/239.49.8.53:9814
CCTV10,http://j1900.silicaite.top:58888/rtp/239.49.8.54:9818
CCTV11,http://j1900.silicaite.top:58888/rtp/239.49.0.127:8000
CCTV12,http://j1900.silicaite.top:58888/rtp/239.49.8.55:9822
CCTV13,http://j1900.silicaite.top:58888/rtp/239.49.8.109:8000
CCTV14,http://j1900.silicaite.top:58888/rtp/239.49.8.56:9826
CCTV15,http://j1900.silicaite.top:58888/rtp/239.49.0.128:8000
CCTV16,http://j1900.silicaite.top:58888/rtp/239.49.8.31:8000
CCTV17,http://j1900.silicaite.top:58888/rtp/239.49.8.52:9810
源3内江
CCTV1,http://112.19.88.97:8899/rtp/239.10.0.151:5140
CCTV2,http://112.19.88.97:8899/rtp/239.11.0.108:5140
CCTV3,http://112.19.88.97:8899/rtp/239.11.0.101:5140
CCTV4,http://112.19.88.97:8899/rtp/239.11.0.109:5140
CCTV5+,http://112.19.88.97:8899/rtp/239.11.0.100:5140
CCTV5,http://112.19.88.97:8899/rtp/239.11.0.241:5140
CCTV6,http://112.19.88.97:8899/rtp/239.11.0.102:5140
CCTV7,http://112.19.88.97:8899/rtp/239.11.0.110:5140
CCTV8,http://112.19.88.97:8899/rtp/239.11.0.103:5140
CCTV9,http://112.19.88.97:8899/rtp/239.11.0.111:5140
CCTV10,http://112.19.88.97:8899/rtp/239.11.0.112:5140
CCTV11,http://112.19.88.97:8899/rtp/239.11.0.22:5140
CCTV12,http://112.19.88.97:8899/rtp/239.11.0.113:5140
CCTV13,http://112.19.88.97:8899/rtp/239.11.0.24:5140
CCTV14,http://112.19.88.97:8899/rtp/239.11.0.114:5140
CCTV15,http://112.19.88.97:8899/rtp/239.11.0.26:5140
CCTV16,http://112.19.88.97:8899/rtp/239.11.0.67:5140
CCTV17,http://112.19.88.97:8899/rtp/239.11.0.107:5140
源4抓包
CCTV1,http://23.237.228.134/live5/CCTV1.m3u8
CCTV2,http://23.237.228.134/live5/CCTV2.m3u8
CCTV3,http://23.237.228.134/live5/CCTV3.m3u8
CCTV4,http://23.237.228.134/live5/CCTV4.m3u8
CCTV5+,http://23.237.228.134/live5/CCTV5.m3u8
CCTV5,http://23.237.228.134/live5/CCTV5p.m3u8
CCTV6,http://23.237.228.134/live5/CCTV6.m3u8
